Soil_Type,Footing_Type,Cohesion_c,Angle_of_Friction_phi,Unit_Weight_gamma,Depth_of_Foundation_Df,Width_B,Factor_of_Safety,Nc,Nq,N_gamma,Ultimate_Bearing_Capacity_qu,Safe_Bearing_Capacity_qs
Clayey Loam,Combined,25.8,20,17.53,1.28,2.23,2.5,14.83,6.4,5.39,631.57,252.63
Silty Clay Loam,Combined,17.79,20,17.85,1.34,1.79,2.5,14.83,6.4,5.39,503.02,201.21
Clayey Loam,Isolated(Circular),16.16,30,17.74,2.23,2.57,2.5,30.14,18.4,22.4,1725.6,690.24
Silty Clay Loam,Isolated (Square),19.11,20,17.26,2.29,2.16,2.5,14.83,6.4,5.39,636.84,254.74
Alluvial,Isolated(Rectangular),19.12,30,17.97,1.25,2.38,3.0,30.14,18.4,22.4,1468.6,489.53
Silty Clay Loam,Strip,14.65,30,17.05,1.49,1.04,3.0,30.14,18.4,22.4,1107.59,369.2
Silty Clay Loam,Strip,21.54,25,17.83,1.14,2.12,2.5,20.72,10.66,10.88,868.62,347.45
Clayey Loam,Strip,26.62,20,17.2,0.88,2.36,2.5,14.83,6.4,5.39,601.04,240.42
Alluvial,Isolated(Circular),13.14,30,18.75,1.57,2.1,2.5,30.14,18.4,22.4,1378.69,551.48
Silty Clay Loam,Strip,18.54,30,18.24,2.41,2.08,2.5,30.14,18.4,22.4,1792.55,717.02
Alluvial,Isolated(Circular),15.36,20,18.06,1.39,1.26,3.0,14.83,6.4,5.39,449.78,149.93
Alluvial,Isolated (Square),12.18,25,17.4,2.03,1.69,3.0,20.72,10.66,10.88,788.87,262.96
Alluvial,Isolated(Rectangular),11.08,20,18.12,2.33,2.64,3.0,14.83,6.4,5.39,563.44,187.81
Clayey Loam,Isolated(Circular),27.83,30,18.86,1.33,2.93,3.0,30.14,18.4,22.4,1919.25,639.75
Alluvial,Isolated(Circular),28.06,25,17.4,1.99,2.19,3.0,20.72,10.66,10.88,1157.81,385.94
Silty Clay Loam,Combined,19.32,20,18.09,2.18,2.0,3.0,14.83,6.4,5.39,636.41,212.14
Clayey Loam,Isolated(Rectangular),29.39,30,17.76,1.89,2.14,2.5,30.14,18.4,22.4,1929.11,771.64
Silty Clay Loam,Isolated(Circular),28.72,30,18.22,1.49,2.97,2.5,30.14,18.4,22.4,1971.21,788.48
Silty Clay Loam,Isolated(Circular),13.86,25,17.76,2.41,2.2,2.5,20.72,10.66,10.88,956.0,382.4
Silty Clay Loam,Strip,12.93,30,18.83,1.91,2.79,2.5,30.14,18.4,22.4,1639.87,655.95
Silty Clay Loam,Combined,12.75,20,18.1,1.23,1.91,3.0,14.83,6.4,5.39,424.73,141.58
Alluvial,Combined,22.2,25,18.16,1.17,2.5,3.0,20.72,10.66,10.88,933.46,311.15
Clayey Loam,Isolated(Circular),15.45,20,17.75,2.11,1.11,3.0,14.83,6.4,5.39,521.92,173.97
Clayey Loam,Combined,25.32,20,17.63,2.14,2.35,3.0,14.83,6.4,5.39,728.61,242.87
Alluvial,Isolated(Rectangular),18.69,25,17.41,1.43,2.31,2.5,20.72,10.66,10.88,871.43,348.57
Clayey Loam,Isolated(Circular),20.03,30,17.03,1.99,2.61,2.5,30.14,18.4,22.4,1725.1,690.04
Silty Clay Loam,Isolated(Circular),12.7,30,17.14,1.27,1.61,2.5,30.14,18.4,22.4,1092.37,436.95
Silty Clay Loam,Isolated(Circular),14.9,30,17.81,1.86,2.49,2.5,30.14,18.4,22.4,1555.3,622.12
Alluvial,Isolated (Square),17.25,25,17.19,1.06,1.38,3.0,20.72,10.66,10.88,680.71,226.9
Clayey Loam,Strip,28.69,30,18.69,1.17,2.7,3.0,30.14,18.4,22.4,1832.26,610.75
Clayey Loam,Isolated (Square),19.9,25,17.79,1.02,2.7,3.0,20.72,10.66,10.88,867.06,289.02
Clayey Loam,Strip,12.71,25,18.05,1.11,2.29,2.5,20.72,10.66,10.88,701.79,280.72
Clayey Loam,Combined,27.17,25,18.74,1.75,2.57,2.5,20.72,10.66,10.88,1174.56,469.82
Silty Clay Loam,Isolated(Rectangular),13.25,30,18.05,1.95,2.26,2.5,30.14,18.4,22.4,1503.87,601.55
Alluvial,Isolated(Circular),21.9,25,18.12,2.43,1.05,2.5,20.72,10.66,10.88,1026.65,410.66
Silty Clay Loam,Combined,24.58,30,18.29,0.89,1.91,2.5,30.14,18.4,22.4,1431.62,572.65
Clayey Loam,Combined,17.89,25,17.51,2.1,1.58,2.5,20.72,10.66,10.88,913.16,365.26
Silty Clay Loam,Isolated(Circular),21.95,30,17.7,2.26,1.76,3.0,30.14,18.4,22.4,1746.51,582.17
Alluvial,Isolated(Rectangular),25.28,25,17.01,2.4,1.1,3.0,20.72,10.66,10.88,1060.77,353.59
Alluvial,Isolated(Circular),15.58,20,18.72,0.88,2.99,2.5,14.83,6.4,5.39,487.33,194.93
Clayey Loam,Strip,12.7,25,18.54,1.11,1.08,3.0,20.72,10.66,10.88,591.45,197.15
Silty Clay Loam,Combined,12.68,20,18.62,1.74,2.54,2.5,14.83,6.4,5.39,522.86,209.14
Clayey Loam,Isolated(Circular),26.72,30,17.13,0.83,2.33,2.5,30.14,18.4,22.4,1513.97,605.59
Alluvial,Isolated(Circular),29.24,30,17.46,2.5,2.42,2.5,30.14,18.4,22.4,2157.69,863.08
Clayey Loam,Combined,22.91,30,18.55,2.45,1.73,2.5,30.14,18.4,22.4,1886.17,754.47
Alluvial,Isolated(Circular),14.07,30,18.96,0.81,1.43,3.0,30.14,18.4,22.4,1010.31,336.77
Clayey Loam,Isolated(Rectangular),12.2,30,17.98,2.5,1.9,3.0,30.14,18.4,22.4,1577.4,525.8
Clayey Loam,Isolated(Rectangular),21.13,25,17.33,0.88,2.14,3.0,20.72,10.66,10.88,802.13,267.38
Clayey Loam,Combined,11.89,20,17.82,2.37,2.5,2.5,14.83,6.4,5.39,566.68,226.67
Clayey Loam,Isolated(Rectangular),17.88,25,18.47,1.32,1.02,3.0,20.72,10.66,10.88,732.86,244.29
Alluvial,Combined,15.19,20,18.37,1.29,2.0,2.5,14.83,6.4,5.39,475.94,190.38
Alluvial,Strip,29.27,25,18.18,1.41,2.25,3.0,20.72,10.66,10.88,1102.25,367.42
Alluvial,Strip,16.15,30,17.04,2.41,1.47,2.5,30.14,18.4,22.4,1522.93,609.17
Alluvial,Combined,10.8,20,18.94,1.7,2.2,2.5,14.83,6.4,5.39,478.53,191.41
Alluvial,Isolated(Rectangular),26.35,20,18.42,2.47,2.62,2.5,14.83,6.4,5.39,812.02,324.81
Clayey Loam,Strip,25.01,25,18.13,2.05,1.62,2.5,20.72,10.66,10.88,1074.18,429.67
Silty Clay Loam,Combined,26.72,25,18.33,2.03,2.05,3.0,20.72,10.66,10.88,1154.71,384.9
Silty Clay Loam,Strip,24.98,25,18.61,2.46,2.29,3.0,20.72,10.66,10.88,1237.44,412.48
Clayey Loam,Combined,23.33,20,18.05,1.06,2.93,3.0,14.83,6.4,5.39,610.96,203.65
Alluvial,Isolated(Circular),29.41,25,17.77,1.75,2.03,3.0,20.72,10.66,10.88,1137.11,379.04
Silty Clay Loam,Isolated(Rectangular),15.27,25,17.01,2.39,1.78,2.5,20.72,10.66,10.88,914.48,365.79
Silty Clay Loam,Strip,23.83,20,18.53,1.0,2.75,3.0,14.83,6.4,5.39,609.32,203.11
Silty Clay Loam,Isolated(Rectangular),18.77,30,18.09,1.51,2.55,2.5,30.14,18.4,22.4,1584.99,634.0
Clayey Loam,Strip,13.91,20,18.2,0.95,1.47,2.5,14.83,6.4,5.39,389.04,155.62
Clayey Loam,Isolated (Square),26.52,30,18.5,1.7,2.59,2.5,30.14,18.4,22.4,1914.64,765.86
Silty Clay Loam,Combined,23.54,25,18.1,1.1,2.12,3.0,20.72,10.66,10.88,908.73,302.91
Alluvial,Isolated(Circular),25.8,25,17.15,1.22,2.89,3.0,20.72,10.66,10.88,1027.24,342.41
Alluvial,Combined,10.06,20,18.05,1.86,2.26,3.0,14.83,6.4,5.39,473.99,158.0
Silty Clay Loam,Isolated (Square),23.05,25,17.51,1.54,1.09,2.5,20.72,10.66,10.88,868.87,347.55
Clayey Loam,Isolated (Square),16.73,25,17.38,2.29,2.82,2.5,20.72,10.66,10.88,1037.54,415.02
Clayey Loam,Isolated(Rectangular),29.91,20,17.38,2.42,1.53,2.5,14.83,6.4,5.39,784.41,313.76
Alluvial,Combined,16.6,25,18.81,2.14,1.28,3.0,20.72,10.66,10.88,904.03,301.34
Alluvial,Combined,28.49,30,17.86,2.33,1.04,3.0,30.14,18.4,22.4,1832.42,610.81
Silty Clay Loam,Strip,28.25,30,18.86,1.93,1.51,3.0,30.14,18.4,22.4,1840.17,613.39
Silty Clay Loam,Combined,20.48,20,18.99,2.08,2.88,3.0,14.83,6.4,5.39,703.91,234.64
Clayey Loam,Isolated (Square),22.11,30,18.38,2.22,2.4,3.0,30.14,18.4,22.4,1911.24,637.08
Silty Clay Loam,Strip,15.22,20,18.42,1.05,1.38,3.0,14.83,6.4,5.39,418.0,139.33
Alluvial,Isolated(Circular),11.4,20,17.95,2.41,1.7,3.0,14.83,6.4,5.39,528.16,176.05
Clayey Loam,Isolated (Square),13.0,25,18.46,2.3,1.77,3.0,20.72,10.66,10.88,899.71,299.9
Clayey Loam,Isolated(Rectangular),23.85,30,17.63,1.05,1.74,2.5,30.14,18.4,22.4,1403.02,561.21
Silty Clay Loam,Isolated(Rectangular),12.89,30,18.63,1.74,2.23,3.0,30.14,18.4,22.4,1450.27,483.42
Silty Clay Loam,Isolated (Square),13.06,25,18.72,1.11,1.23,3.0,20.72,10.66,10.88,617.37,205.79
Alluvial,Isolated (Square),26.89,30,17.48,1.25,1.39,3.0,30.14,18.4,22.4,1484.63,494.88
Silty Clay Loam,Isolated(Circular),16.04,20,18.54,1.86,1.34,2.5,14.83,6.4,5.39,525.53,210.21
Silty Clay Loam,Strip,16.14,30,18.37,1.78,1.81,2.5,30.14,18.4,22.4,1460.51,584.2
Silty Clay Loam,Isolated (Square),27.22,20,18.44,0.84,2.72,2.5,14.83,6.4,5.39,637.98,255.19
Alluvial,Strip,24.6,30,17.38,1.39,1.21,2.5,30.14,18.4,22.4,1421.49,568.6
Clayey Loam,Isolated(Rectangular),24.7,25,18.02,2.25,2.45,2.5,20.72,10.66,10.88,1184.16,473.66
Clayey Loam,Isolated (Square),10.99,20,17.92,1.13,2.6,3.0,14.83,6.4,5.39,418.14,139.38
Clayey Loam,Strip,10.58,25,17.68,1.51,2.38,3.0,20.72,10.66,10.88,732.71,244.24
Clayey Loam,Isolated(Circular),19.13,20,18.78,1.8,1.18,3.0,14.83,6.4,5.39,559.77,186.59
Silty Clay Loam,Combined,27.34,30,17.31,1.49,2.86,3.0,30.14,18.4,22.4,1853.07,617.69
Silty Clay Loam,Isolated (Square),25.44,20,18.25,2.22,1.74,2.5,14.83,6.4,5.39,722.15,288.86
Clayey Loam,Combined,13.08,25,17.46,1.59,2.69,3.0,20.72,10.66,10.88,822.46,274.15
Clayey Loam,Isolated (Square),21.4,25,17.28,2.01,1.6,2.5,20.72,10.66,10.88,964.06,385.62
Clayey Loam,Isolated(Rectangular),12.9,20,17.69,2.07,2.12,2.5,14.83,6.4,5.39,526.73,210.69
Clayey Loam,Isolated (Square),21.01,25,18.6,1.21,2.08,2.5,20.72,10.66,10.88,885.7,354.28
Alluvial,Isolated (Square),10.46,20,17.47,1.91,1.44,3.0,14.83,6.4,5.39,436.47,145.49
Alluvial,Strip,29.37,25,18.01,0.99,2.07,3.0,20.72,10.66,10.88,1001.42,333.81
Alluvial,Combined,25.61,25,17.19,2.41,2.58,3.0,20.72,10.66,10.88,1213.53,404.51
Silty Clay Loam,Isolated (Square),25.26,25,17.16,1.77,2.02,2.5,20.72,10.66,10.88,1035.73,414.29
Alluvial,Combined,12.45,20,17.56,1.94,1.25,2.5,14.83,6.4,5.39,461.81,184.72
Clayey Loam,Isolated(Rectangular),21.24,20,18.45,2.42,1.24,2.5,14.83,6.4,5.39,662.4,264.96
Silty Clay Loam,Isolated(Circular),23.05,30,18.88,2.44,2.33,3.0,30.14,18.4,22.4,2035.06,678.35
Silty Clay Loam,Isolated(Circular),27.65,30,17.07,1.78,1.06,2.5,30.14,18.4,22.4,1595.1,638.04
Clayey Loam,Isolated(Circular),12.78,25,18.04,1.92,1.84,3.0,20.72,10.66,10.88,814.6,271.53
Alluvial,Strip,29.07,25,17.18,2.06,1.67,2.5,20.72,10.66,10.88,1135.67,454.27
Alluvial,Strip,14.61,20,17.29,2.01,2.11,3.0,14.83,6.4,5.39,537.4,179.13
Clayey Loam,Combined,26.18,20,18.33,0.87,1.89,2.5,14.83,6.4,5.39,583.68,233.47
Silty Clay Loam,Isolated(Rectangular),10.01,30,18.94,0.95,2.81,3.0,30.14,18.4,22.4,1228.85,409.62
Silty Clay Loam,Isolated (Square),10.74,25,18.95,1.21,2.62,2.5,20.72,10.66,10.88,737.05,294.82
Clayey Loam,Combined,12.95,30,17.59,1.24,1.68,3.0,30.14,18.4,22.4,1122.62,374.21
Alluvial,Combined,28.19,30,17.53,1.56,2.22,3.0,30.14,18.4,22.4,1788.69,596.23
Clayey Loam,Strip,28.47,25,17.89,1.99,1.22,3.0,20.72,10.66,10.88,1088.14,362.71
Silty Clay Loam,Isolated (Square),20.51,20,18.45,1.37,2.64,2.5,14.83,6.4,5.39,597.2,238.88
Alluvial,Isolated(Rectangular),20.0,25,17.51,2.17,1.88,2.5,20.72,10.66,10.88,998.52,399.41
Silty Clay Loam,Combined,23.92,25,17.97,1.57,2.95,2.5,20.72,10.66,10.88,1084.75,433.9
Clayey Loam,Strip,13.3,25,18.09,0.94,2.23,3.0,20.72,10.66,10.88,676.3,225.43
Silty Clay Loam,Isolated(Rectangular),22.33,20,18.57,1.79,2.97,2.5,14.83,6.4,5.39,692.53,277.01
Alluvial,Strip,25.59,25,17.9,1.13,1.31,3.0,20.72,10.66,10.88,873.41,291.14
Silty Clay Loam,Combined,26.98,25,17.21,2.07,1.76,3.0,20.72,10.66,10.88,1103.56,367.85
Silty Clay Loam,Isolated(Rectangular),22.49,30,18.6,1.62,2.08,3.0,30.14,18.4,22.4,1665.58,555.19
Alluvial,Combined,19.82,30,17.14,1.24,2.57,2.5,30.14,18.4,22.4,1481.8,592.72
Alluvial,Isolated(Rectangular),28.3,25,17.23,1.34,1.87,2.5,20.72,10.66,10.88,1007.77,403.11
Clayey Loam,Isolated(Rectangular),23.98,30,17.72,2.09,1.24,3.0,30.14,18.4,22.4,1650.29,550.1
Clayey Loam,Strip,21.94,30,18.08,1.39,1.37,3.0,30.14,18.4,22.4,1401.11,467.04
Alluvial,Combined,27.83,30,18.17,1.6,2.57,3.0,30.14,18.4,22.4,1896.73,632.24
Silty Clay Loam,Strip,27.9,25,18.59,1.01,2.85,2.5,20.72,10.66,10.88,1066.46,426.58
Silty Clay Loam,Combined,16.17,30,17.6,2.13,1.33,3.0,30.14,18.4,22.4,1439.31,479.77
Clayey Loam,Isolated(Circular),16.76,20,17.85,1.16,2.99,3.0,14.83,6.4,5.39,524.91,174.97
Alluvial,Combined,23.7,30,17.77,1.74,2.18,3.0,30.14,18.4,22.4,1717.11,572.37
Alluvial,Strip,20.53,25,17.92,1.55,2.06,3.0,20.72,10.66,10.88,922.29,307.43
Clayey Loam,Strip,23.94,30,17.66,2.32,3.0,2.5,30.14,18.4,22.4,2068.8,827.52
Clayey Loam,Combined,11.1,30,18.2,2.18,1.18,2.5,30.14,18.4,22.4,1305.12,522.05
Clayey Loam,Combined,12.74,30,17.02,0.84,2.35,3.0,30.14,18.4,22.4,1095.01,365.0
Clayey Loam,Isolated(Circular),21.88,25,17.5,1.52,2.89,2.5,20.72,10.66,10.88,1012.04,404.82
Clayey Loam,Combined,25.72,20,18.29,1.69,1.42,3.0,14.83,6.4,5.39,649.25,216.42
Alluvial,Strip,21.22,25,18.13,1.36,1.96,2.5,20.72,10.66,10.88,895.83,358.33
Clayey Loam,Strip,22.66,30,17.8,1.21,2.01,2.5,30.14,18.4,22.4,1479.99,592.0
Alluvial,Strip,24.96,20,17.88,2.32,2.8,3.0,14.83,6.4,5.39,770.56,256.85
Alluvial,Isolated (Square),13.87,20,18.63,2.32,2.9,3.0,14.83,6.4,5.39,627.91,209.3
Clayey Loam,Combined,18.68,30,17.49,2.38,2.92,2.5,30.14,18.4,22.4,1900.93,760.37
Clayey Loam,Isolated(Circular),17.35,20,18.41,2.2,1.64,3.0,14.83,6.4,5.39,597.88,199.29
Alluvial,Strip,27.32,30,17.91,0.8,1.0,2.5,30.14,18.4,22.4,1287.65,515.06
Clayey Loam,Isolated(Circular),15.9,20,17.74,1.34,1.49,2.5,14.83,6.4,5.39,459.17,183.67
Alluvial,Isolated(Rectangular),10.42,20,18.25,2.48,2.22,3.0,14.83,6.4,5.39,553.38,184.46
Clayey Loam,Isolated(Rectangular),12.11,25,17.65,2.46,2.4,3.0,20.72,10.66,10.88,944.2,314.73
Clayey Loam,Strip,14.45,20,17.34,1.27,2.32,2.5,14.83,6.4,5.39,463.65,185.46
Clayey Loam,Combined,27.86,25,18.58,2.05,2.65,2.5,20.72,10.66,10.88,1251.14,500.46
Silty Clay Loam,Isolated(Circular),18.22,25,18.79,2.16,2.8,3.0,20.72,10.66,10.88,1096.38,365.46
Clayey Loam,Strip,13.56,20,17.62,1.09,2.5,2.5,14.83,6.4,5.39,442.73,177.09
Silty Clay Loam,Combined,25.38,20,18.4,1.04,2.31,3.0,14.83,6.4,5.39,613.4,204.47
Silty Clay Loam,Isolated(Circular),15.78,25,18.61,1.63,2.16,3.0,20.72,10.66,10.88,869.0,289.67
Alluvial,Isolated(Rectangular),25.2,30,18.67,1.49,1.88,3.0,30.14,18.4,22.4,1664.5,554.83
Clayey Loam,Combined,10.09,20,17.56,0.9,1.78,3.0,14.83,6.4,5.39,335.02,111.67
Silty Clay Loam,Isolated(Rectangular),14.66,20,18.85,1.28,2.77,3.0,14.83,6.4,5.39,512.55,170.85
Clayey Loam,Isolated (Square),24.64,20,17.56,2.23,1.95,2.5,14.83,6.4,5.39,708.31,283.32
Silty Clay Loam,Isolated(Rectangular),29.44,30,17.44,2.1,1.42,3.0,30.14,18.4,22.4,1838.57,612.86
Clayey Loam,Isolated(Circular),21.66,25,17.06,2.31,2.98,2.5,20.72,10.66,10.88,1145.45,458.18
Silty Clay Loam,Combined,19.42,25,18.36,1.47,1.96,2.5,20.72,10.66,10.88,885.85,354.34
Silty Clay Loam,Isolated(Rectangular),13.42,20,17.26,1.02,2.67,3.0,14.83,6.4,5.39,435.89,145.3
Alluvial,Strip,29.82,30,18.96,2.05,2.39,2.5,30.14,18.4,22.4,2121.47,848.59
Alluvial,Isolated (Square),13.12,30,17.89,1.61,2.26,3.0,30.14,18.4,22.4,1378.24,459.41
Silty Clay Loam,Strip,20.39,25,18.32,1.73,1.86,3.0,20.72,10.66,10.88,945.7,315.23
Alluvial,Combined,16.63,25,18.69,2.07,2.51,3.0,20.72,10.66,10.88,1012.19,337.4
Alluvial,Isolated (Square),25.98,25,18.99,2.18,2.7,2.5,20.72,10.66,10.88,1258.54,503.42
Silty Clay Loam,Combined,25.76,30,18.87,2.2,1.28,3.0,30.14,18.4,22.4,1810.78,603.59
Clayey Loam,Combined,14.12,25,17.21,1.63,2.5,2.5,20.72,10.66,10.88,825.66,330.26
Clayey Loam,Isolated(Circular),20.41,30,18.73,1.37,2.95,2.5,30.14,18.4,22.4,1706.14,682.46
Clayey Loam,Strip,29.31,20,18.42,1.75,2.54,2.5,14.83,6.4,5.39,767.06,306.82
Alluvial,Isolated(Circular),18.85,20,18.52,1.87,1.65,2.5,14.83,6.4,5.39,583.55,233.42
Alluvial,Isolated(Circular),25.07,30,18.07,0.97,1.47,3.0,30.14,18.4,22.4,1375.63,458.54
Clayey Loam,Isolated (Square),14.87,20,17.85,2.35,2.63,2.5,14.83,6.4,5.39,615.5,246.2
Silty Clay Loam,Combined,17.88,30,18.27,1.25,1.5,3.0,30.14,18.4,22.4,1266.05,422.02
Clayey Loam,Isolated(Circular),10.05,25,17.7,1.37,2.33,3.0,20.72,10.66,10.88,691.08,230.36
Clayey Loam,Strip,20.04,30,18.88,1.98,2.64,2.5,30.14,18.4,22.4,1850.09,740.04
Alluvial,Isolated(Circular),13.66,30,17.48,1.66,2.3,2.5,30.14,18.4,22.4,1395.91,558.36
Clayey Loam,Isolated(Rectangular),16.81,25,18.99,2.07,1.08,2.5,20.72,10.66,10.88,878.91,351.56
Silty Clay Loam,Isolated (Square),29.88,30,18.3,2.01,1.75,2.5,30.14,18.4,22.4,1936.07,774.43
Silty Clay Loam,Isolated(Rectangular),13.69,30,18.27,2.43,1.07,2.5,30.14,18.4,22.4,1448.45,579.38
Clayey Loam,Combined,24.33,25,17.03,1.23,2.34,3.0,20.72,10.66,10.88,944.2,314.73
Alluvial,Isolated(Rectangular),12.39,25,18.03,2.09,1.77,3.0,20.72,10.66,10.88,832.03,277.34
Silty Clay Loam,Strip,20.73,20,18.42,0.97,2.45,2.5,14.83,6.4,5.39,543.4,217.36
Silty Clay Loam,Isolated (Square),27.87,25,18.79,2.24,1.53,3.0,20.72,10.66,10.88,1182.53,394.18
Silty Clay Loam,Isolated(Circular),27.78,20,17.3,1.36,1.74,2.5,14.83,6.4,5.39,643.68,257.47
Silty Clay Loam,Isolated(Circular),12.75,25,17.33,1.14,2.29,2.5,20.72,10.66,10.88,690.67,276.27
Alluvial,Isolated(Rectangular),18.69,30,18.0,1.13,2.2,2.5,30.14,18.4,22.4,1381.09,552.44
Clayey Loam,Isolated(Circular),24.19,25,18.26,1.18,1.79,2.5,20.72,10.66,10.88,908.71,363.48
Alluvial,Isolated (Square),12.11,20,17.88,2.01,2.92,2.5,14.83,6.4,5.39,550.3,220.12
Clayey Loam,Isolated(Rectangular),12.43,30,18.71,2.42,2.33,3.0,30.14,18.4,22.4,1696.02,565.34
Silty Clay Loam,Isolated(Rectangular),23.48,20,17.63,2.26,2.46,3.0,14.83,6.4,5.39,720.09,240.03
Alluvial,Isolated(Rectangular),15.83,20,18.32,1.16,1.66,2.5,14.83,6.4,5.39,452.72,181.09
Silty Clay Loam,Isolated(Circular),29.52,20,17.17,2.16,1.23,3.0,14.83,6.4,5.39,732.06,244.02
Clayey Loam,Isolated(Circular),21.91,20,18.46,1.05,2.85,2.5,14.83,6.4,5.39,590.76,236.3
Clayey Loam,Isolated(Circular),21.6,20,18.99,1.01,2.72,2.5,14.83,6.4,5.39,582.28,232.91
Clayey Loam,Strip,29.35,30,18.72,2.4,1.44,2.5,30.14,18.4,22.4,2013.2,805.28
Clayey Loam,Isolated(Circular),24.16,30,17.8,2.38,1.95,2.5,30.14,18.4,22.4,1896.43,758.57
Clayey Loam,Strip,26.79,25,18.89,2.03,2.82,2.5,20.72,10.66,10.88,1253.65,501.46
Alluvial,Isolated(Circular),14.13,30,17.5,1.93,2.95,3.0,30.14,18.4,22.4,1625.54,541.85
Alluvial,Strip,19.76,30,17.12,2.21,2.53,2.5,30.14,18.4,22.4,1776.85,710.74
Silty Clay Loam,Isolated(Circular),27.75,25,17.29,1.87,1.1,2.5,20.72,10.66,10.88,1023.11,409.24
Alluvial,Strip,10.72,20,17.84,2.08,1.34,3.0,14.83,6.4,5.39,460.89,153.63
Silty Clay Loam,Combined,12.76,30,18.47,1.8,1.49,3.0,30.14,18.4,22.4,1304.54,434.85
Alluvial,Strip,19.62,25,18.85,2.42,2.7,2.5,20.72,10.66,10.88,1169.67,467.87
Clayey Loam,Isolated (Square),10.51,20,17.14,2.0,2.36,3.0,14.83,6.4,5.39,484.27,161.42
Alluvial,Isolated(Rectangular),20.35,20,17.91,1.95,2.93,2.5,14.83,6.4,5.39,666.73,266.69
Alluvial,Combined,16.26,20,17.19,2.0,2.64,2.5,14.83,6.4,5.39,583.47,233.39
Silty Clay Loam,Isolated(Rectangular),26.92,25,18.97,0.89,1.05,2.5,20.72,10.66,10.88,846.12,338.45
Clayey Loam,Isolated(Rectangular),28.09,25,17.71,1.39,2.16,2.5,20.72,10.66,10.88,1052.54,421.02
Alluvial,Strip,16.0,30,17.74,1.83,2.1,3.0,30.14,18.4,22.4,1496.83,498.94
Alluvial,Combined,10.11,20,17.25,2.49,2.7,2.5,14.83,6.4,5.39,550.35,220.14
Silty Clay Loam,Combined,16.93,30,17.53,1.25,2.1,2.5,30.14,18.4,22.4,1325.77,530.31
Alluvial,Isolated (Square),22.59,25,17.33,2.24,2.23,3.0,20.72,10.66,10.88,1092.11,364.04
Clayey Loam,Strip,15.28,30,17.55,0.93,2.88,3.0,30.14,18.4,22.4,1326.95,442.32
Silty Clay Loam,Isolated(Circular),20.65,20,17.72,1.52,2.73,3.0,14.83,6.4,5.39,608.99,203.0
Alluvial,Strip,24.95,25,17.0,2.39,2.03,2.5,20.72,10.66,10.88,1137.81,455.12
Alluvial,Isolated(Circular),21.16,30,17.27,1.27,2.11,2.5,30.14,18.4,22.4,1449.45,579.78
Clayey Loam,Isolated(Circular),10.47,25,17.91,0.81,1.17,2.5,20.72,10.66,10.88,485.58,194.23
Silty Clay Loam,Isolated(Rectangular),28.33,25,18.2,2.02,2.75,2.5,20.72,10.66,10.88,1251.17,500.47
Silty Clay Loam,Isolated(Circular),24.52,20,17.14,1.0,2.12,2.5,14.83,6.4,5.39,571.26,228.5
Silty Clay Loam,Strip,11.08,30,17.5,2.38,2.98,2.5,30.14,18.4,22.4,1684.39,673.76
Clayey Loam,Isolated(Circular),12.28,30,17.88,1.4,2.44,2.5,30.14,18.4,22.4,1319.33,527.73
Silty Clay Loam,Isolated(Circular),20.75,30,17.74,1.62,1.3,2.5,30.14,18.4,22.4,1412.49,565.0
Clayey Loam,Strip,10.69,25,18.06,2.08,1.95,3.0,20.72,10.66,10.88,813.52,271.17
Alluvial,Isolated(Rectangular),11.77,20,17.38,1.53,2.99,3.0,14.83,6.4,5.39,484.78,161.59
Silty Clay Loam,Strip,25.49,25,18.92,1.09,2.97,2.5,20.72,10.66,10.88,1053.68,421.47
Silty Clay Loam,Isolated(Rectangular),10.05,20,17.42,1.36,1.83,2.5,14.83,6.4,5.39,386.58,154.63
Alluvial,Isolated(Circular),23.0,30,17.31,1.41,1.58,2.5,30.14,18.4,22.4,1448.63,579.45
Alluvial,Strip,19.83,20,17.68,2.45,1.99,3.0,14.83,6.4,5.39,666.12,222.04
Clayey Loam,Isolated (Square),24.62,30,17.8,1.72,2.0,2.5,30.14,18.4,22.4,1704.1,681.64
Clayey Loam,Isolated(Rectangular),16.88,25,18.71,1.42,1.59,2.5,20.72,10.66,10.88,794.8,317.92
Clayey Loam,Isolated(Rectangular),13.94,20,18.91,2.42,1.93,3.0,14.83,6.4,5.39,597.97,199.32
Silty Clay Loam,Combined,19.66,25,17.38,2.24,1.15,3.0,20.72,10.66,10.88,931.09,310.36
Alluvial,Isolated (Square),17.78,25,17.09,1.99,2.19,3.0,20.72,10.66,10.88,934.54,311.51
Clayey Loam,Isolated(Rectangular),20.69,30,18.26,1.18,1.18,3.0,30.14,18.4,22.4,1261.38,420.46
Silty Clay Loam,Isolated(Circular),18.9,20,18.6,1.56,2.74,3.0,14.83,6.4,5.39,603.34,201.11
Silty Clay Loam,Isolated(Circular),25.92,30,18.87,1.44,1.77,3.0,30.14,18.4,22.4,1655.29,551.76
Clayey Loam,Isolated(Circular),28.87,20,18.46,1.25,2.37,3.0,14.83,6.4,5.39,693.73,231.24
Alluvial,Isolated (Square),29.39,25,18.06,1.0,2.56,3.0,20.72,10.66,10.88,1052.99,351.0
Clayey Loam,Isolated(Rectangular),20.31,25,17.16,0.9,2.72,2.5,20.72,10.66,10.88,839.37,335.75
